Top queries,Last 28 days Clicks,Same period last year Clicks,Last 28 days Impressions,Same period last year Impressions,Last 28 days CTR,Same period last year CTR,Last 28 days Position,Same period last year Position
news,28844,27987,1152038,386731,2.5%,7.24%,8.15,1.87
iran,26423,3882,437182,67457,6.04%,5.75%,1.25,2.01
russia,22280,13639,189427,148007,11.76%,9.22%,1.58,1.41
iran news,19139,2330,225217,31060,8.5%,7.5%,1.04,1.88
trump,16881,3387,271208,65314,6.22%,5.19%,1.11,1.2
ukraine news,15651,31221,174884,234311,8.95%,13.32%,1.13,1.65
venezuela,15158,145,421223,7945,3.6%,1.83%,1.21,1.45
trump news,12258,3198,154728,43045,7.92%,7.43%,1.01,1.05
putin news,10010,2776,126398,26629,7.92%,10.42%,2.08,2.84
ukraine,9711,14844,141195,173097,6.88%,8.58%,1.75,1.74
uk news,9266,1597,132820,32178,6.98%,4.96%,1.51,2.67
putin,8759,5043,134034,60382,6.53%,8.35%,1.96,2.72
greenland,8670,815,210368,34899,4.12%,2.34%,2.79,4.61
disinfectant,8521,0,23983,0,35.53%,0%,2.64,0
fiona hill russia venezuela proposal,6420,0,31867,0,20.15%,0%,2.56,0
russia news,6309,3893,73106,46260,8.63%,8.42%,1.45,2.88
world news,5936,8580,65571,78065,9.05%,10.99%,6.32,6.24
latest news,5319,4678,43704,52058,12.17%,8.99%,1.08,1.11
venezuela news,5201,23,77182,734,6.74%,3.13%,1.01,3.14
news uk,4624,883,62733,22811,7.37%,3.87%,1.1,3.54
barry manilow,4614,0,43734,0,10.55%,0%,2.6,0
taiwan,4277,299,67951,29008,6.29%,1.03%,4.75,7.46
donald trump,4272,1841,109183,50504,3.91%,3.65%,1.26,1.69
news today,4033,3536,32755,37291,12.31%,9.48%,1.17,1.08
china taiwan,4009,222,37329,3395,10.74%,6.54%,2.94,3.38
will smith,3626,0,27187,0,13.34%,0%,1.63,0
vladimir putin,3033,1430,65848,26822,4.61%,5.33%,1.78,2.81
atesh,2924,0,11560,0,25.29%,0%,1.51,0
the telegraph,2884,2295,269495,241123,1.07%,0.95%,1.08,1.68
delta force,2850,0,95237,0,2.99%,0%,3.83,0
china news,2780,116,25269,1619,11%,7.16%,1.08,3.8
telegraph,2608,2915,544709,576221,0.48%,0.51%,1.33,2.24
china,2589,369,35354,16844,7.32%,2.19%,1.55,1.52
erfan soltani,2537,0,53922,0,4.7%,0%,2.29,0
russian cavalry,2504,0,6997,0,35.79%,0%,1.58,0
what is happening in iran,2402,0,45941,0,5.23%,0%,6.35,0
maduro,2345,14,79355,861,2.96%,1.63%,2.46,3.28
ukraine latest,2345,2639,19876,15951,11.8%,16.54%,1.5,1.49
iran protests,2250,0,34223,0,6.57%,0%,1.51,0
breaking news,2211,1845,21194,22863,10.43%,8.07%,1.04,1.07
yemen,2180,54,18507,4452,11.78%,1.21%,4.64,2.76
china venezuela,2175,0,12985,0,16.75%,0%,1.5,0
cac/pac jf-17 thunder,2003,0,5236,0,38.25%,0%,1.03,0
russia china venezuela news,1962,0,3937,0,49.83%,0%,1.15,0
vondelkerk,1934,0,30062,0,6.43%,0%,3.29,0
russia bizarre tank defenses,1896,0,3876,0,48.92%,0%,1,0
swiss fire,1864,0,21992,0,8.48%,0%,3.25,0
china maduro,1591,0,11876,0,13.4%,0%,4.08,0
oreshnik,1582,0,4873,0,32.46%,0%,1.02,0
greenland news,1576,38,19398,411,8.12%,9.25%,1.38,1.55
daily telegraph,1566,1779,302176,248729,0.52%,0.72%,1.17,1.44
why is trump attacking venezuela,1563,0,17482,0,8.94%,0%,1.85,0
army,1558,0,5901,0,26.4%,0%,1.55,0
moldova,1544,0,24947,0,6.19%,0%,5.9,0
france,1543,49,17055,12125,9.05%,0.4%,2.38,4.74
trump iran,1537,115,24748,1456,6.21%,7.9%,2.93,5.81
trump greenland,1442,162,18597,2329,7.75%,6.96%,1.21,1.46
oil tanker,1428,0,17207,0,8.3%,0%,3.13,0
russia ukraine war,1419,2518,24694,22207,5.75%,11.34%,2.61,2.69
swiss bar fire,1360,0,15153,0,8.98%,0%,2.65,0
ukraine latest news,1350,2151,14209,15881,9.5%,13.54%,1.38,2.64
jf-17 thunder purchases,1340,0,3281,0,40.84%,0%,1.06,0
keir starmer gibraltar border deal,1316,0,18184,0,7.24%,0%,2.85,0
cavalry,1302,0,4873,0,26.72%,0%,4.26,0
ukraine drones hit russian jets,1277,0,4853,0,26.31%,0%,1.15,0
atesh pro-ukrainian resistance,1264,0,3968,0,31.85%,0%,1.01,0
switzerland,1210,0,26064,0,4.64%,0%,1.38,0
amsterdam church fire,1204,0,18013,0,6.68%,0%,3.83,0
zelensky updated withdrawal offer,1199,0,11716,0,10.23%,0%,3.75,0
telegraph uk,1145,1108,167542,148711,0.68%,0.75%,1.01,1.05
jacques and jessica moretti,1145,0,4611,0,24.83%,0%,2.8,0
switzerland fire,1113,0,22826,0,4.88%,0%,5.61,0
china taiwan news,1089,104,9598,1823,11.35%,5.7%,1.27,5.49
crans montana,1081,0,18602,0,5.81%,0%,1.48,0
russia venezuela,1049,0,9865,0,10.63%,0%,2.12,0
world news today,1026,950,9377,8608,10.94%,11.04%,6.62,8.51
brigitte bardot,1002,113,179152,12183,0.56%,0.93%,5.51,5.57
tank,990,0,10150,0,9.75%,0%,4.73,0
atesh ukrainian underground sabotage,970,0,2930,0,33.11%,0%,1,0
nicolas maduro,927,3,29767,123,3.11%,2.44%,2.98,3.1
zelensky,922,412,25385,15499,3.63%,2.66%,2.15,6.83
news iran,911,72,10125,948,9%,7.59%,1.04,4.1
jessica moretti,884,0,9477,0,9.33%,0%,6.14,0
news headlines,882,645,7124,7181,12.38%,8.98%,1.03,1.15
maduro china,879,0,5245,0,16.76%,0%,3.49,0
china on venezuela,860,0,7693,0,11.18%,0%,1.21,0
emanuele galeppini,859,0,9362,0,9.18%,0%,3.54,0
ski resort fire,850,0,10678,0,7.96%,0%,3.81,0
trump zelensky,836,0,9445,0,8.85%,0%,2.53,0
news ukraine,835,1563,9607,11654,8.69%,13.41%,1.15,2.14
donald trump news,816,248,11993,2894,6.8%,8.57%,1.01,1.02
venezuela china,777,0,3138,0,24.76%,0%,1.56,0
trump latest,741,60,9333,1206,7.94%,4.98%,1.42,2.71
spacex explosion,732,16,2552,333,28.68%,4.8%,2.08,1.41
volodymyr zelenskyy,728,55,1967,4968,37.01%,1.11%,1,4.97
us venezuela,691,0,12691,0,5.44%,0%,1.03,0
iran latest news,688,0,7077,0,9.72%,0%,1.32,0
charlotte niddam,679,0,6001,0,11.31%,0%,4.28,0
finnish authorities seize fitburg,678,0,2351,0,28.84%,0%,1.32,0
ali khamenei,671,0,29146,0,2.3%,0%,4.71,0
alfie hallett,650,0,6615,0,9.83%,0%,4.08,0
russia on venezuela,645,0,3980,0,16.21%,0%,1.3,0
trump venezuela,631,0,13331,0,4.73%,0%,1.08,0
carrier strike group,623,0,2866,0,21.74%,0%,2.21,0
the telegraph maia sandu,609,0,926,0,65.77%,0%,1.17,0
china pla taiwan landing zones,607,0,1699,0,35.73%,0%,1.01,0
crans montana fire,605,0,9088,0,6.66%,0%,5.24,0
nicolás maduro,604,0,8479,0,7.12%,0%,2.99,0
katie miller,597,0,10828,0,5.51%,0%,3.57,0
russia ukraine news,595,1549,9370,14111,6.35%,10.98%,1.03,2.58
qatar,593,0,17079,0,3.47%,0%,1.44,0
swiss ski resort explosion,583,0,24609,0,2.37%,0%,6.85,0
telegraph news,582,704,20270,23931,2.87%,2.94%,1.34,1.13
ukraine robot machine gunner,580,0,1334,0,43.48%,0%,1.22,0
switzerland news,577,0,7038,0,8.2%,0%,2.98,0
yemen saudi arabia,575,0,3246,0,17.71%,0%,2.79,0
romi gonen,573,0,4768,0,12.02%,0%,4.28,0
latest news headlines for today,572,606,5418,7745,10.56%,7.82%,1.14,1.19
jacques moretti,569,0,9271,0,6.14%,0%,6.29,0
the telegraph uk,565,581,57367,46178,0.98%,1.26%,1.03,1.05
fire in switzerland,565,0,11838,0,4.77%,0%,6.04,0
india news,562,281,4889,1250,11.5%,22.48%,1.21,1.12
why did trump attack venezuela,559,0,2821,0,19.82%,0%,4.94,0
russian oil tanker,557,0,22153,0,2.51%,0%,5.56,0
amsterdam fire,555,0,7655,0,7.25%,0%,3.63,0
zelensky trump,554,3,10206,46,5.43%,6.52%,2.06,1.02
us iran,553,10,5832,70,9.48%,14.29%,1.43,1.01
iran protest,547,0,4847,0,11.29%,0%,2.14,0
ukraine russia,546,682,9572,7041,5.7%,9.69%,1.24,1.71
ukraine drone hits russian horses,543,0,1124,0,48.31%,0%,1.01,0
iran latest,542,0,5206,0,10.41%,0%,2.41,0
usa news,535,0,4261,0,12.56%,0%,1,0
latest news uk,532,225,9550,3586,5.57%,6.27%,1.94,1.22
george bush putin meeting 2001,532,0,3242,0,16.41%,0%,1,0
daily telegraph uk,529,716,60665,60411,0.87%,1.19%,1.01,1.06
nato,524,189,27257,9445,1.92%,2%,2.05,6.41
donbas,522,0,7655,0,6.82%,0%,6.56,0
alicia gonset,516,0,10722,0,4.81%,0%,5.74,0
crans montana explosion,511,0,14197,0,3.6%,0%,6.7,0
swiss fire ski resort,508,0,12311,0,4.13%,0%,5.42,0
france news,508,54,3671,1395,13.84%,3.87%,1.61,8.29
ukraine war latest,507,726,7669,5302,6.61%,13.69%,5.48,2.36
trump latest news,507,145,7257,1490,6.99%,9.73%,1.23,1.03
today's news,506,420,4414,6025,11.46%,6.97%,1.16,1.2
supreme leader of iran,501,0,4759,0,10.53%,0%,3.49,0
putin venezuela,490,0,3467,0,14.13%,0%,2.19,0
iran qatar,489,0,6141,0,7.96%,0%,1.54,0
machu picchu train crash,485,0,10978,0,4.42%,0%,4.09,0
